,Name,Team,Pos,Age,Actual Salary,Predicted Salary,Value Index
125,"Baker, Bryan",BAL,RP,27,700500,1409020,201.14489650249823
126,"Bard, Daniel",COL,RP,37,4400000,6503910,147.81613636363636
127,"Barlow, Scott",KCR,RP,29,2400000,2136841,89.03504166666667
128,"Barria, Jaime",LAA,RP,25,730000,-1063353,-145.66479452054796
129,"Bass, Anthony",TOR,RP,34,3000000,4505928,150.1976
130,"Bautista, Felix",BAL,RP,27,700000,2626450,375.20714285714286
131,"Bednar, David",PIT,RP,27,715000,2137271,298.919020979021
132,"Bellatti, Andrew",PHI,RP,30,700000,3473653,496.23614285714285
133,"Bickford, Phil",LAD,RP,26,700000,808657,115.52242857142858
134,"Boxberger, Brad",MIL,RP,34,1750000,4180020,238.8582857142857
135,"Brasier, Ryan",BOS,RP,34,1400000,4053416,289.5297142857143
136,"Brebbia, John",SFG,RP,32,837500,3129024,373.6148059701493
137,"Burke, Brock",TEX,RP,25,714000,797818,111.73921568627452
138,"Bush, Matt",MIL,RP,36,825000,5909075,716.2515151515152
139,"Castillo, Diego",SEA,RP,28,2150000,1169748,54.40688372093023
140,"Chafin, Andrew",DET,RP,32,5500000,3212524,58.40952727272727
141,"Chavez, Jesse",LAA,RP,38,1250000,5010191,400.81528000000003
142,"Cimber, Adam",TOR,RP,31,1575000,1325499,84.15866666666668
143,"Cishek, Steve",WSN,RP,36,1750000,4869025,278.23
144,"Clase, Emmanuel",CLE,RP,24,1500000,884775,58.985
145,"Coleman, Dylan",KCR,RP,25,700650,455838,65.05930207664312
146,"Crismatt, Nabil",SDP,RP,27,721500,138718,19.226334026334026
147,"Crowe, Wil",PIT,RP,27,715000,50223,7.024195804195804
148,"De Jong, Chase",PIT,RP,28,700000,1034436,147.77657142857143
149,"De Los Santos, Enyel",CLE,RP,26,700000,867392,123.91314285714286
150,"Diaz, Alexis",CIN,RP,25,700000,1734865,247.83785714285713
151,"Diaz, Edwin",NYM,RP,28,10200000,3320338,32.55233333333333
152,"Diekman, Jake",CHW,RP,35,3500000,4289699,122.56282857142857
153,"Dominguez, Seranthony",PHI,RP,27,725000,1647091,227.18496551724138
154,"Doval, Camilo",SFG,RP,24,703750,353764,50.268419182948485
155,"Duran, Jhoan",MIN,RP,24,700000,1150242,164.32028571428572
156,"Edwards Jr., Carl",WSN,RP,30,700000,1805806,257.9722857142857
157,"Effross, Scott",NYY,RP,28,701500,1202271,171.38574483250179
158,"Estevez, Carlos",COL,RP,29,3025000,2320022,76.69494214876032
159,"Festa, Matthew",SEA,RP,29,700000,1961289,280.1841428571429
160,"Finnegan, Kyle",WSN,RP,30,725900,2357213,324.7297148367544
161,"Floro, Dylan",MIA,RP,31,3000000,1967370,65.579
162,"Foley, Jason",DET,RP,26,701400,485647,69.2396635300827
